"tabla","nombre_in","nombre_out","class","sql"
"general",,"id",,"serial"
"general","Desc","description",,"char(100)"
"general","SDR","sdr",,"char(20)"
"general","Model #","model_num",,"integer"
"general","Serial #","serial_num",,"integer"
"general","Hardware Rev.","hardware_rev",,"char(20)"
"general","Site #","site_num",,"integer"
"general","Site Desc","site_desc",,"char(50)"
"general","Project Code","project_code",,"char(50)"
"general","Project Desc","project_desc",,"char(50)"
"general","Site Location","site_loc",,"char(50)"
"general","Site Elevation","site_elev",,"integer"
"general","Latitude","site_lat_chr",,"char(20)"
"general","Longitude","site_lon_chr",,"char(20)"
"general","Time offset (hrs)","time_offset",,"integer"
"general",,"filename",,"char(50)"
"general",,"start_date",,"date"
"general",,"end_date",,"date"
"general",,"tm_file",,"char(20)"
"channels",,"id",,"serial"
"channels",,"measure_desc",,"integer"
"channels","Channel #",,,
"channels","Type","channel_type",,"integer"
"channels","Description","channel_desc",,"char(50)"
"channels","Details","details",,"char(100)"
"channels","Serial Number","serial_num",,"integer"
"channels","Height","height",,"integer"
"channels","Scale Factor","scale_fct",,"numeric"
"channels","Offset","channel_offset",,"numeric"
"channels","Units","units",,"char(20)"
"channels",,"measure_id",,"integer"
"records",,"id",,"bigserial"
"records",,"channel_serial",,"char(50)"
"records",,"measure_desc",,"char(50)"
"records","Date & Time Stamp","record_ts",,"timestamp"
"records",,"record_len",,"numeric"
"records",,"record_avg",,"numeric"
"records",,"record_sd",,"numeric"
"records",,"record_min",,"numeric"
"records",,"record_max",,"numeric"
"records",,"measure_serial",,"integer"
